product_id,name,n_obs,price_min,price_max,price_mean
10-day-green-smoothie-cleanse-lose-up-to-15-pounds-in-10-days_581,10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,2,49.71,49.71,49.71
10-happier-how-i-tamed-the-voice-in-my-head-reduced-stress-without-losing-my-edge-and-found-self-help-that-actually-works_582,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",2,24.57,24.57,24.57
1000-places-to-see-before-you-die_1,"1,000 Places to See Before You Die",2,26.08,26.08,26.08
112263_583,11/22/63,2,48.48,48.48,48.48
13-hours-the-inside-account-of-what-really-happened-in-benghazi_645,13 Hours: The Inside Account of What Really Happened In Benghazi,2,27.06,27.06,27.06
1491-new-revelations-of-the-americas-before-columbus_650,1491: New Revelations of the Americas Before Columbus,2,21.8,21.8,21.8
1st-to-die-womens-murder-club-1_2,1st to Die (Women's Murder Club #1),2,53.98,53.98,53.98
23-degrees-south-a-tropical-tale-of-changing-whether_556,23 Degrees South: A Tropical Tale of Changing Whether...,2,35.79,35.79,35.79
32-yolks_510,32 Yolks,2,53.63,53.63,53.63
8-keys-to-mental-health-through-exercise_114,8 Keys to Mental Health Through Exercise,2,31.04,31.04,31.04
a-brush-of-wings-angels-walking-3_651,A Brush of Wings (Angels Walking #3),2,55.51,55.51,55.51
a-clash-of-kings-a-song-of-ice-and-fire-2_356,A Clash of Kings (A Song of Ice and Fire #2),2,10.79,10.79,10.79
a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874,A Court of Thorns and Roses (A Court of Thorns and Roses #1),2,52.37,52.37,52.37
a-distant-mirror-the-calamitous-14th-century_652,A Distant Mirror: The Calamitous 14th Century,2,14.58,14.58,14.58
a-feast-for-crows-a-song-of-ice-and-fire-4_357,A Feast for Crows (A Song of Ice and Fire #4),2,17.21,17.21,17.21
a-fierce-and-subtle-poison_875,A Fierce and Subtle Poison,2,28.13,28.13,28.13
a-flight-of-arrows-the-pathfinders-2_876,A Flight of Arrows (The Pathfinders #2),2,55.53,55.53,55.53
a-game-of-thrones-a-song-of-ice-and-fire-1_358,A Game of Thrones (A Song of Ice and Fire #1),2,46.42,46.42,46.42
a-gathering-of-shadows-shades-of-magic-2_456,A Gathering of Shadows (Shades of Magic #2),2,44.81,44.81,44.81
a-gentlemans-position-society-of-gentlemen-3_584,A Gentleman's Position (Society of Gentlemen #3),2,14.75,14.75,14.75
a-girls-guide-to-moving-on-new-beginnings-2_359,A Girl's Guide to Moving On (New Beginnings #2),2,31.3,31.3,31.3
a-heartbreaking-work-of-staggering-genius_115,A Heartbreaking Work of Staggering Genius,2,54.29,54.29,54.29
a-heros-curse-the-unseen-chronicles-1_557,A Hero's Curse (The Unseen Chronicles #1),2,50.49,50.49,50.49
a-history-of-god-the-4000-year-quest-of-judaism-christianity-and-islam_310,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",2,27.62,27.62,27.62
